Year,"College Region (Glasgow, Highlands, etc)",College names (actual for each year),Male,Female,Difference,Female real
2019,Aberdeen and Aberdeenshire,NE Scotland Col,25,6,0,6
2019,Edinburgh and Lothians,Edinburgh College,33,5,0,5
2019,Fife,Fife College,9,5,2,3
2019,Glasgow,City of Glasg Coll,41,14,0,14
2019,Glasgow,Glasgow Clyde Col,9,0,0,0
2019,Lanarkshire,New Col Lanarkshir,9,5,3,2
2018,Aberdeen and Aberdeenshire,NE Scotland Col,33,11,0,11
2018,Edinburgh and Lothians,Edinburgh College,42,7,0,7
2018,Fife,Fife College,21,5,0,5
2018,Glasgow,City of Glasg Coll,29,6,0,6
2018,Glasgow,Glasgow Clyde Col,16,5,3,2
2018,Lanarkshire,New Col Lanarkshir,15,5,2,3
2017,Aberdeen and Aberdeenshire,NE Scotland Col,37,8,0,8
2017,Edinburgh and Lothians,Edinburgh College,33,9,0,9
2017,Fife,Fife College,10,6,6,0
2017,Glasgow,City of Glasg Coll,31,6,0,6
2017,Glasgow,Glasgow Clyde Col,12,5,1,4
2017,Lanarkshire,New Col Lanarkshir,15,5,1,4
2016,Aberdeen and Aberdeenshire,NE Scotland Col,33,9,0,9
2016,Edinburgh and Lothians,Edinburgh College,38,15,0,15
2016,Fife,Fife College,18,5,0,5
2016,Glasgow,City of Glasg Coll,35,5,0,5
2016,Lanarkshire,New Col Lanarkshir,17,5,4,1
2015,Aberdeen and Aberdeenshire,NE Scotland Col,32,11,0,11
2015,Edinburgh and Lothians,Edinburgh College,35,7,0,7
2015,Fife,Fife College,27,5,0,5
2015,Glasgow,City of Glasg Coll,45,13,0,13
2015,Glasgow,Glasgow Clyde Col,11,5,4,1
2015,Lanarkshire,New Col Lanarkshir,19,7,0,7
2014,Aberdeen and Aberdeenshire,NE Scotland Col,27,8,0,8
2014,Ayrshire,Ayrshire College,7,5,2,3
2014,Edinburgh and Lothians,Edinburgh College,47,11,0,11
2014,Glasgow,City of Glasg Coll,59,16,0,16
2013,Ayrshire,Ayrshire C. Kilw.,15,5,2,3
2013,Dundee and Angus,Angus College,8,5,1,4
2013,Edinburgh and Lothians,Edinburgh College,56,12,0,12
2013,Glasgow,City of Glasg Coll,69,13,0,13
2012,Ayrshire,James Watt College,22,5,0,5
2012,Dundee and Angus,Angus College,12,5,1,4
2012,Edinburgh and Lothians,Jewel and Esk Coll,16,5,3,2
2012,Glasgow,City of Glasg Coll,17,7,0,7
2011,Ayrshire,James Watt College,19,6,0,6
2011,Dundee and Angus,Angus College,9,5,3,2
2011,Edinburgh and Lothians,Jewel and Esk Coll,13,7,0,7
2011,Glasgow,City of Glasg Coll,11,5,3,2
2011,West,James Watt College,7,5,2,3
2010,Ayrshire,James Watt College,16,5,0,5
2010,Edinburgh and Lothians,Jewel and Esk Coll,12,5,4,1
2010,West,James Watt College,13,5,3,2
2009,Ayrshire,James Watt College,14,6,0,6
2009,Edinburgh and Lothians,Jewel and Esk Coll,19,5,4,1
2009,Forth Valley,Forth Valley Colle,5,5,4,1
2009,Glasgow,Central Glasgow,13,5,0,5
2009,Glasgow,Langside College,14,5,1,4
2009,West,James Watt College,7,5,3,2
2009,West,Reid Kerr College,8,5,3,2
2008,Ayrshire,James Watt College,13,8,0,8
2008,Edinburgh and Lothians,Edin Telford Col,11,5,4,1
2008,Edinburgh and Lothians,Jewel and Esk Coll,19,5,3,2
2008,Forth Valley,Forth Valley Colle,5,5,5,0
2008,Glasgow,Central Glasgow,12,5,1,4
2008,Glasgow,Langside College,11,5,2,3
2008,Lanarkshire,Motherwell College,5,5,4,1
2008,West,James Watt College,15,5,3,2
2008,West,Reid Kerr College,6,5,0,5
2007,Ayrshire,James Watt College,29,5,1,4
2007,Edinburgh and Lothians,Edin Telford Col,9,5,3,2
2007,Edinburgh and Lothians,Jewel and Esk Coll,20,5,1,4
2007,Forth Valley,Forth Valley Colle,18,7,0,7
2007,Glasgow,Central C. of Comm,15,5,2,3
2007,Lanarkshire,Motherwell College,10,5,4,1
2007,West,James Watt College,17,0,0,0
2007,West,Reid Kerr College,13,5,4,1
2006,Ayrshire,James Watt College,23,5,0,5
2006,Dundee and Angus,Dundee College,15,5,0,5
2006,Edinburgh and Lothians,Edin Telford Col,7,5,3,2
2006,Edinburgh and Lothians,Jewel & Esk V. Col,13,5,0,5
2006,Forth Valley,Forth Valley Colle,12,6,0,6
2006,Glasgow,Langside College,9,5,3,2
2006,Lanarkshire,Motherwell College,5,0,0,0
2006,West,James Watt College,20,5,2,3
2006,West,Reid Kerr College,11,5,2,3
2005,Dundee and Angus,Dundee College,28,11,0,11
2005,Forth Valley,Forth Valley College,21,9,0,9
2005,Ayrshire,James Watt College of Further & Higher Education,21,7,0,7
2005,Edinburgh and Lothians,Jewel and Esk Valley College,9,5,1,4
2005,Glasgow,Langside College,13,5,4,1
2005,West,James Watt College,9,0,0,0
2005,West,Reid Kerr College,10,5,4,1
